,Potential,Current
0,-0.3950529374999999,0.0
1,-0.39005606249999986,0.0
2,-0.3850591875000001,0.0001875000000000071
3,-0.38006231250000005,6.249999999985434e-05
4,-0.3750654375,8.124999999998827e-05
5,-0.3700685624999999,-8.750000000001812e-05
6,-0.36507168749999985,3.750000000000142e-05
7,-0.3600748125000002,-1.2500000000015276e-05
8,-0.35507793750000005,-6.249999999998756e-05
9,-0.3500810625,8.124999999998827e-05
10,-0.3450841874999999,-9.999999999998899e-05
11,-0.34008731249999985,8.750000000001812e-05
12,-0.33509043750000017,-2.4999999999986144e-05
13,-0.3300935625000001,5.625000000000213e-05
14,-0.3250966875,-1.875000000000071e-05
15,-0.3200998124999999,-0.00010625000000001883
16,-0.31510293749999985,8.124999999998827e-05
17,-0.31010606250000017,-9.999999999998899e-05
18,-0.3051091875000001,9.375000000000355e-05
19,-0.30011231250000003,-0.00016250000000002097
20,-0.2951154374999999,5.625000000000213e-05
21,-0.29011856249999984,-4.3749999999986854e-05
22,-0.28512168750000016,-3.750000000000142e-05
23,-0.2801248125000001,5.625000000000213e-05
24,-0.27512793750000003,-8.750000000001812e-05
25,-0.27013106249999996,0.00010625000000001883
26,-0.26513418749999984,-6.249999999985434e-06
27,-0.26013731250000016,4.3749999999986854e-05
28,-0.2551404375000001,-2.4999999999986144e-05
29,-0.2501435625,-1.875000000000071e-05
30,-0.24514668749999993,7.500000000000284e-05
31,-0.24014981249999987,-2.4999999999986144e-05
32,-0.23515293750000016,0.00018125000000002167
33,-0.2301560625000001,7.500000000000284e-05
34,-0.2251591875,5.00000000000167e-05
35,-0.22016231249999993,-4.3749999999986854e-05
36,-0.21516543749999986,0.0
37,-0.21016856250000016,5.00000000000167e-05
38,-0.2051716875000001,-4.3749999999986854e-05
39,-0.20017481250000002,0.00014375000000002025
40,-0.19517793749999993,3.750000000000142e-05
41,-0.19018106249999986,4.3749999999986854e-05
42,-0.18518418750000015,-3.750000000000142e-05
43,-0.18018731250000009,-6.249999999985434e-06
44,-0.17519043750000002,8.750000000001812e-05
45,-0.17019356249999995,-0.00013125000000000498
46,-0.16519668749999986,0.00011250000000000427
47,-0.16019981250000015,-4.3749999999986854e-05
48,-0.15520293750000008,8.124999999998827e-05
49,-0.15020606250000001,-6.87500000000174e-05
50,-0.14520918749999995,1.2500000000015276e-05
51,-0.14021231249999988,9.375000000000355e-05
52,-0.13521543750000015,-5.00000000000167e-05
53,-0.13021856250000008,0.00010625000000001883
54,-0.1252216875,-8.750000000001812e-05
55,-0.12022481249999994,5.625000000000213e-05
56,-0.11522793749999986,-3.750000000000142e-05
57,-0.11023106250000016,2.4999999999986144e-05
58,-0.10523418750000008,5.00000000000167e-05
59,-0.10023731250000001,-5.625000000000213e-05
60,-0.09524043749999994,3.750000000000142e-05
61,-0.09024356249999987,-8.750000000001812e-05
62,-0.08524668750000015,5.00000000000167e-05
63,-0.08024981250000009,0.0
64,-0.0752529375,0.0
65,-0.0702560625000003,-6.249999999985434e-06
66,-0.06525918749999987,-6.249999999998756e-05
67,-0.06026231250000015,8.750000000001812e-05
68,-0.05526543749999973,-8.124999999998827e-05
69,-0.05026856250000001,4.3749999999986854e-05
70,-0.045271687500000296,-3.1250000000015986e-05
71,-0.04027481249999987,2.4999999999986144e-05
72,-0.035277937500000155,1.2500000000015276e-05
73,-0.030281062499999727,-8.750000000001812e-05
74,-0.02528418750000001,6.87500000000174e-05
75,-0.020287312500000296,-6.87500000000174e-05
76,-0.015290437499999868,6.249999999998756e-05
77,-0.010293562500000153,-3.1250000000015986e-05
78,-0.005296687499999727,1.2500000000015276e-05
79,-0.00029981250000001133,2.4999999999986144e-05
80,0.004697062499999705,-7.500000000000284e-05
81,0.009693937500000131,5.625000000000213e-05
82,0.014690812499999846,-6.249999999998756e-05
83,0.019687687500000273,8.124999999998827e-05
84,0.02468456249999999,-3.750000000000142e-05
85,0.029681437499999703,3.1250000000015986e-05
86,0.03467831250000013,6.249999999985434e-06
87,0.03967518749999985,-2.4999999999986144e-05
88,0.04467206250000027,8.750000000001812e-05
89,0.04966893749999999,-6.249999999998756e-05
90,0.0546658124999997,7.500000000000284e-05
91,0.05966268750000013,-6.87500000000174e-05
92,0.06465956249999985,1.2500000000015276e-05
93,0.06965643750000027,1.2500000000015276e-05
94,0.07465331249999999,0.0
95,0.0796501874999997,6.87500000000174e-05
96,0.08464706250000013,-6.249999999998756e-05
97,0.08964393749999984,0.00012500000000001955
98,0.09464081250000027,-6.249999999998756e-05
99,0.09963768749999999,2.4999999999986144e-05
100,0.10463456249999971,0.0
101,0.10963143750000012,6.249999999985434e-06
102,0.11462831249999984,6.87500000000174e-05
103,0.11962518750000027,-6.249999999998756e-05
104,0.12462206249999999,8.750000000001812e-05
105,0.1296189374999997,-6.249999999998756e-05
106,0.13461581250000013,1.2500000000015276e-05
107,0.13961268749999983,-6.249999999985434e-06
108,0.14460956250000026,1.2500000000015276e-05
109,0.1496064375,6.249999999998756e-05
110,0.1546033124999997,-4.3749999999986854e-05
111,0.15960018750000013,9.375000000000355e-05
112,0.16459706249999984,-8.124999999998827e-05
113,0.16959393750000026,1.2500000000015276e-05
114,0.1745908125,0.0
115,0.1795876874999997,3.1250000000015986e-05
116,0.18458456250000013,6.87500000000174e-05
117,0.18958143749999984,-5.00000000000167e-05
118,0.19457831250000027,0.00013125000000000498
119,0.19957518749999997,-6.87500000000174e-05
120,0.2045720624999997,1.875000000000071e-05
121,0.20956893750000014,-1.2500000000015276e-05
122,0.21456581249999984,1.2500000000015276e-05
